Movie Name,Director,Year,Jump Count,Jump Scare Rating,Netflix (US)
Friday the 13th Part V: A New Beginning,Danny Steinmann,1985,7,1.0,No
Friday the 13th Part VII: The New Blood,John Carl Buechler,1988,4,1.0,No
Friday the 13th Part VIII: Jason Takes Manhattan,Rob Hedden,1989,4,0.0,No
Friend Request,Simon Verhoeven,2016,21,4.0,Yes
Fright Night,Tom Holland,1985,3,1.0,No
Fright Night,Craig Gillespie,2011,10,3.0,No
From Beyond,Stuart Gordon,1983,5,1.5,No
Frozen,Adam Green,2010,1,0.5,No
Funny Games,Michael Haneke,1997,1,0.5,No
Funny Games,Michael Haneke,2007,1,0.5,No
Gantz,Shinsuke Sato,2010,11,2.0,No
Gantz: Perfect Answer,Shinsuke Sato,2011,6,1.0,No
Gehenna: Where Death Lives,Hiroshi Katagiri,2016,20,4.0,No
Gerald’s Game,Mike Flanagan,2017,3,0.5,Yes
Get Out,Jordan Peele,2017,10,2.5,No
Ghost Lab,Paween Purijitpanya,2021,24,2.5,Yes
Ghost Ship,Steve Beck,2002,12,3.0,Yes
Ghost Stories,"Jeremy Dyson, Andy Nyman",2017,21,4.0,No
Ghostland,Pascal Laugier,2018,21,4.0,No
Ghosts of War,Eric Bress,2020,10,4.5,Yes
Ghostwatch,Lesley Manning,1992,6,1.0,No
Girl on the Third Floor,Travis Stevens,2019,5,1.0,No
Goal of the Dead,"Thierry Poiraud, Benjamin Rocher",2014,9,1.5,No
Godzilla vs Kong,Adam Wingard,2021,0,0.0,No
Goodnight Mommy,"Severin Fiala, Veronika Franz",2014,1,0.5,No
Goosebumps,Rob Letterman,2015,10,2.5,No
Gothika,Mathieu Kassovitz,2003,16,3.5,Yes
Grabbers,Jon Wright,2012,1,0.5,No
Grave Encounters,"Colin Minihan, Stuart Ortiz",2011,12,4.0,No
Grave Encounters 2,John Poliquin,2012,21,4.0,No
Great White,Martin Wilson,2021,11,2.5,No
Green Room,Jeremy Saulnier,2015,1,0.5,Yes
Gremlins,Joe Dante,1984,17,3.5,No
Gretel & Hansel,Oz Perkins,2020,5,1.5,No
Guns Akimbo,Jason Lei Howden,2020,2,1.0,No
Halloween,David Gordon Green,2018,14,3.5,No
Halloween,John Carpenter,1978,13,2.5,No
Halloween,Rob Zombie,2007,9,3.0,No
Halloween 4: The Return of Michael Myers,Dwight H. Little,1988,6,2.0,No
Halloween 5: The Revenge of Michael Myers,Dominique Othenin-Girard,1989,16,3.5,No
Halloween at Aunt Ethel’s,Joseph Mazzaferro,2019,5,1.0,No
Halloween H20: 20 Years Later,Steve Miner,1998,16,3.5,No
Halloween II,Rob Zombie,2009,16,3.0,No
Halloween II,Rick Rosenthal,1981,8,2.0,No
Halloween Kills,David Gordon Green,2021,22,4.0,No
Hannibal,Ridley Scott,2001,2,0.5,No
Hannibal Rising,Peter Webber,2007,0,0.0,No
Happy Death Day,Christopher Landon,2017,8,2.5,No
Happy Death Day 2U,Christopher Landon,2019,7,2.0,No
Hard Candy,David Slade,2005,1,1.0,No
Haunt,Scott Beck & Bryan Woods,2019,16,4.0,No
Head Count,Elle Callahan,2018,6,2.5,Yes
Head Trauma,Lance Weiler,2006,6,1.0,No
Hell Fest,Gregory Plotkin,2018,28,5.0,No
Hell House LLC,Stephen Cognetti,2015,6,2.5,No
Hell House LLC II: The Abaddon Hotel,Stephen Cognetti,2018,10,2.5,No
Hell House LLC III: Lake of Fire,Stephen Cognetti,2019,5,2.0,No
Hellboy,Guillermo del Toro,2004,6,1.5,No
Hello Mary Lou: Prom Night II,Bruce Pittman,1987,5,1.5,No
Hellraiser,Clive Barker,1987,5,2.0,No
Here Alone,Rod Blackhurst,2016,2,0.5,Yes
Here Comes Hell,Jack McHenry,2019,2,2.0,No
Hereditary,Ari Aster,2018,8,2.0,No
Hidden,"Matt Duffer, Ross Duffer",2015,6,1.5,No
Hide and Seek,John Polson,2005,16,3.5,No
High Tension,Alexandre Aja,2003,8,2.5,No
His House,Remi Weekes,2020,8,2.5,Yes
Holidays,"Anthony Scott Burns,Kevin Kolsch, Nicholas McCarthy, Adam Egypt Mortimer, Ellen Reid, Gary Shore, Kevin Smith, Sarah Adina Smith, Scott Stewart, Dennis Widmyer",2016,5,2.0,Yes
Hollow Man,Paul Verhoeven,2000,9,2.5,No
Honeydew,Devereux Milburn,2020,2,1.0,No
Honeymoon,Leigh Janiak,2014,3,0.5,No
Horns,Alexandre Aja,2013,3,0.5,No
Horse Girl,Jeff Baena,2020,1,0.5,Yes
Host,Rob Savage,2020,23,4.0,No
Hostel,Eli Roth,2005,2,0.5,No
Hostel: Part II,Eli Roth,2007,5,1.0,No
Hostel: Part III,Scott Spiegel,2011,6,1.5,Yes
Hosts,Adam Leader,2020,4,1.5,No
Hotel Inferno,Giulio De Santi,2013,3,1.0,No
Hotel Inferno 2: The Cathedral of Pain,"Giulio De Santi, Tiziana Machella",2017,5,1.5,No
Hotel Inferno 3: The Castle of Screams,"Giulio De Santi, Tiziana Machella",2021,8,1.0,No
Hounds of Love,Ben Young,2016,0,0.0,No
Hour of the Wolf,Ingmar Bergman,1968,1,0.5,No
House,Nobuhiko Obayashi,1977,0,0.0,No
House,Steve Miner,1986,11,3.0,No
House of 1000 Corpses,Rob Zombie,2003,6,2.5,No
House of Wax,Jaume Collet-Serra,2005,16,4.0,No
House Of Wax,André De Toth,1953,4,0.5,No
House on Haunted Hill,William Malone,1999,14,3.0,No
Housebound,Gerard Johnstone,2014,19,3.0,No
Housewife,Can Evrenol,2017,5,1.0,No
Hush,Mike Flanagan,2016,7,2.5,Yes
I Am Legend,Francis Lawrence,2007,9,2.5,No
I Am Not a Serial Killer,Billy O’Brien,2016,3,1.0,No
I Am the Pretty Thing That Lives in the House,Oz Perkins,2016,4,0.5,Yes
I Bought A Vampire Motorcycle,Dirk Campbell,1990,6,1.5,No
I Know What You Did Last Summer,Jim Gillespie,1997,13,3.5,Yes
I Saw The Devil,Kim Jee-woon,2010,2,1.0,No
Identity,James Mangold,2003,11,2.5,No
Idle Hands,Rodman Flender,1999,10,3.0,No
I’m Thinking of Ending Things,Charlie Kaufman,2020,1,0.5,Yes
Impetigore,Joko Anwar,2019,4,2.0,No
In Fabric,Peter Strickland,2019,1,0.5,No
In the Earth,Ben Wheatley,2021,0,0.0,No
In The Mouth Of Madness,John Carpenter,1994,10,3.0,No
In the Tall Grass,Vincenzo Natali,2019,4,1.0,Yes
Incarnate,Brad Peyton,2016,9,2.5,No
Inland Empire,David Lynch,2006,8,2.5,No
Inside,"Alexandre Bustillo, Julien Maury",2007,4,1.0,No
Insidious,James Wan,2010,24,5.0,No
Insidious: Chapter 2,James Wan,2013,22,4.0,No
Insidious: Chapter 3,Leigh Whannell,2015,15,4.0,No
Insidious: The Last Key,Adam Robitel,2018,15,4.0,No
Interview With the Vampire,Neil Jordan,1994,6,2.0,No
Intruders,Adam Schindler,2015,4,1.0,No
Intrusion,Adam Salky,2021,11,3.5,Yes
Invasion of the Body Snatchers,Philip Kaufman,1978,4,1.0,No
It,Andy Muschietti,2017,23,4.0,No
It Chapter Two,Andy Muschietti,2019,24,4.0,No
It Comes at Night,Trey Edward Shults,2017,5,1.5,No
It Follows,David Robert Mitchell,2014,5,2.0,No
Jacob’s Ladder,Adrian Lyne,1990,4,1.0,No
Jakob’s Wife,Travis Stevens,2021,2,1.0,No
Jason Goes to Hell: The Final Friday,Adam Marcus,1993,4,1.0,No
Jaws,Steven Spielberg,1975,4,2.5,No
Jaws 2,Jeannot Szwarc,1978,5,1.5,No
Jaws 3-D,Joe Alves,1983,5,1.0,No
Jaws: The Revenge,Joseph Sargent,1987,3,0.5,No
Jeepers Creepers,Victor Salva,2001,11,3.5,No
Jeepers Creepers 3,Victor Salva,2017,14,3.0,No
Jennifer's Body,Karyn Kusama,2009,6,2.0,No
Jeruzalem,"Yoav Paz, Doron Paz",2015,23,4.0,No
Jessabelle,Kevin Greutert,2014,9,2.0,No
Jigsaw,"Michael Spierig, Peter Spierig",2017,7,2.0,No
Joy Ride,John Dahl,2001,2,0.5,No
Ju On: The Beginning of The End,Masayuki Ochiai,2014,15,3.5,No
Ju On: The Final Curse,Masayuki Ochiai,2015,15,4.0,No
Julia’s Eyes,Guillem Morales,2010,7,2.0,No
Jurassic Park,Steven Spielberg,1993,9,2.5,No
Jurassic World,Colin Trevorrow,2015,5,2.0,No
Jurassic World: Fallen Kingdom,J.A. Bayona,2018,7,2.0,No
Kate,Cedric Nicolas-Troyan,2021,1,0.0,Yes
Kill List,Ben Wheatley,2011,1,0.5,No
Killer Klowns From Outer Space,Stephen Chiodo,1988,2,1.0,No
Knock Knock,Eli Roth,2015,2,0.5,No
Knowing,Alex Proyas,2009,2,1.0,No
Koko-di Koko-da,Johannes Nyholm,2020,0,0.0,No
Kola Superdeep / The Superdeep / Кольская сверхглубокая / Kolskaya Sverhglubokaya,Arseny Syuhin,2020,6,1.5,No
Kolobos,"Daniel Liatowitsch, David Todd Ocvirk",1999,4,1.0,No
Krampus,Michael Dougherty,2015,10,2.0,No
Kristy,Oliver Blackburn,2014,19,3.0,No
Kuroneko,Kaneto Shindō,1968,1,0.5,No
Lake Mungo,Joel Anderson,2008,1,0.5,No
Lake Placid,Steve Miner,1999,12,2.5,No
Lamb,Vladimar Johannsson,2021,0,0.0,No
Last Shift,Anthony DiBlasi,2014,17,4.0,No
Leatherface,"Alexandre Bustillo, Julien Maury",2017,13,3.0,No
Leatherface: The Texas Chainsaw Massacre III,Jeff Burr,1990,6,1.5,No
Leprechaun,Mark Jones,1993,9,3.0,No
Leprechaun 2,Rodman Flender,1994,1,0.0,No
Leprechaun Returns,Steven Kostanski,2018,8,3.0,No
Let Me In,Matt Reeves,2010,3,0.5,No
Let The Right One In,Tomas Alfredson,2008,2,0.5,No
Let Us Prey,Brian O’Malley,2014,7,3.0,No
Life,Daniel Espinosa,2017,8,2.0,No
Lights Out,David F. Sandberg,2016,19,4.5,No
Little Evil,Eli Craig,2017,7,1.5,Yes
Livid,"Alexandre Bustillo, Julien Maury",2011,11,3.5,No
Living Dark: The Story of Ted the Caver,David Hunt,2013,14,3.5,No
Lo,Travis Betz,2009,2,0.5,No
Look Away,Assaf Bernstein,2018,0,1.5,No
Lord of Illusions,Clive Barker,1995,15,4.0,No
Lost Boys 3: The Thirst,Dario Piana,2010,7,1.5,No
Lost Creek,Colin Adams-Toomey,2016,2,0.5,No
Lost Highway,David Lynch,1997,1,0.5,No
Lucky,Natasha Kermani,2020,1,0.5,No
Ma,Tate Taylor,2019,3,1.0,No
Maggie,Henry Hobson,2015,4,0.5,No
Maléfique,Eric Valette,2002,0,0.0,No
Malevolent,Olaf de Fleur Johannesson,2018,8,3.0,Yes
Malice,Harold Becker,1993,3,1.0,No
Malignant,James Wan,2021,18,3.5,No
Mama,Andrés Muschietti,2013,13,3.5,No
Mandy,Panos Cosmatos,2018,5,1.5,No
Maniac,Franck Khalfoun,2012,6,2.5,No
Marrowbone,Sergio G. Sánchez,2017,5,2.5,No
Martyrs,Pascal Laugier,2008,15,3.0,No
Martyrs Lane,Ruth Platt,2021,5,2.0,No
Maximum Overdrive,Stephen King,1986,4,1.0,No
May,Lucky McKee,2002,0,0.0,No
May The Devil Take You Too,Timo Tjahjanto,2020,9,3.5,No
Mayhem,Joe Lynch,2017,2,0.5,No
Megan Is Missing,Michael Goi,2011,1,0.5,No
Midsommar,Ari Aster,2019,3,1.0,No
Mirrors,Alexandre Aja,2008,15,4.0,No
Misery,Rob Reiner,1990,3,0.5,No
Mom and Dad,Brian Taylor,2017,5,1.5,No
Morgan,Luke Scott,2016,3,0.5,No
Mother!,Darren Aronofsky,2017,7,2.0,No
Mulholland Drive,David Lynch,2001,1,1.0,No
Murder Death Koreatown,Anonymous,2020,2,1.0,No
My Bloody Valentine,Patrick Lussier,2009,19,3.5,No
My Bloody Valentine,George Mihalka,1981,11,2.5,No
My Friend Dahmer,Marc Meyers,2017,0,0.0,No
My Heart Can’t Beat Unless You Tell It To,Jonathan Cuartas,2020,1,0.5,No
Necromentia,Pearry Reginald Teo,2009,0,0.0,No
Neighbour No. 13,Yasuo Inoue,2005,0,0.0,No
Nerve,"Henry Joost, Ariel Schulman",2016,1,0.5,No
Night of the Comet,Thom Eberhardt,1984,2,0.5,No
Night of the Living dead,George A. Romero,1968,5,2.0,No
Night Teeth,Adam Randall,2021,6,1.0,Yes
Nina Forever,"Ben Blaine, Chris Blaine",2015,1,0.0,No
No Escape (Follow Me),Will Wernick,2020,2,2.0,No
No One Gets Out Alive,Santiago Menghini,2021,4,1.5,No
Nobody Sleeps in the Woods Tonight,Bartosz M. Kowalski,2020,9,3.0,No
Nocturnal Animals,Tom Ford,2016,1,1.0,No
Noroi: The Curse,Kôji Shiraishi,2005,4,1.0,No
Occult Angel,Andy Roberts,2018,3,1.0,No
Oculus,Mike Flanagan,2013,14,3.5,No
Odd Thomas,Stephen Sommers,2013,10,3.0,No
OLD, M. Night Shyamalan,2021,2,0.0,No
One Hour Photo,Mark Romanek,2002,1,0.5,No
One Missed Call,Eric Valette,2008,15,3.5,No
Only Lovers Left Alive,Jim Jarmusch,2013,0,0.0,Yes
