Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,imdbRating
Misery,1990,R,30 Nov 1990,107 min,"Drama, Thriller",Rob Reiner,"Stephen King, William Goldman","James Caan, Kathy Bates, Richard Farnsworth","After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.",English,United States,Won 1 Oscar. 5 wins & 10 nominations total,7.8
Midsommar,2019,R,03 Jul 2019,148 min,"Drama, Horror, Mystery",Ari Aster,Ari Aster,"Florence Pugh, Jack Reynor, Vilhelm Blomgren",A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,"English, Swedish","United States, Sweden",28 wins & 77 nominations,7.1
Lights Out,2016,PG-13,22 Jul 2016,81 min,"Horror, Mystery",David F. Sandberg,"Eric Heisserer, David F. Sandberg","Teresa Palmer, Gabriel Bateman, Maria Bello","Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with a supernatural spirit attached to their mother.",English,United States,3 wins & 9 nominations,6.3
King Kong,2005,PG-13,14 Dec 2005,187 min,"Action, Adventure, Drama",Peter Jackson,"Fran Walsh, Philippa Boyens, Peter Jackson","Naomi Watts, Jack Black, Adrien Brody","A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",English,"United States, New Zealand, Germany",Won 3 Oscars. 46 wins & 104 nominations total,7.2
Jennifer's Body,2009,R,18 Sep 2009,102 min,"Comedy, Horror",Karyn Kusama,Diablo Cody,"Megan Fox, Amanda Seyfried, Adam Brody",A newly-possessed high-school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?,"English, Spanish",United States,3 wins & 4 nominations,5.4
Jeepers Creepers,2001,R,31 Aug 2001,90 min,"Horror, Mystery",Victor Salva,Victor Salva,"Gina Philips, Justin Long, Jonathan Breck",A brother and sister driving home through isolated countryside for spring break encounter a flesh-eating creature which is in the midst of its ritualistic eating spree.,English,"United States, Germany",5 wins & 7 nominations,6.2
Jaws,1975,PG,20 Jun 1975,124 min,"Adventure, Thriller",Steven Spielberg,"Peter Benchley, Carl Gottlieb","Roy Scheider, Robert Shaw, Richard Dreyfuss","When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",English,United States,Won 3 Oscars. 15 wins & 20 nominations total,8.1
It Follows,2014,R,13 Mar 2015,100 min,"Horror, Mystery, Thriller",David Robert Mitchell,David Robert Mitchell,"Maika Monroe, Keir Gilchrist, Olivia Luccardi",A young woman is followed by an unknown supernatural force after a sexual encounter.,English,United States,25 wins & 43 nominations,6.8
Invasion of the Body Snatchers,1978,PG,22 Dec 1978,115 min,"Horror, Sci-Fi",Philip Kaufman,"W.D. Richter, Jack Finney","Donald Sutherland, Brooke Adams, Jeff Goldblum","When strange seeds drift to earth from space, mysterious pods begin to grow and invade San Francisco, replicating the city's residents one body at a time.","English, French",United States,3 wins & 10 nominations,7.4
Insidious,2010,PG-13,01 Apr 2011,103 min,"Horror, Mystery, Thriller",James Wan,Leigh Whannell,"Patrick Wilson, Rose Byrne, Ty Simpkins",A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,English,"United States, Canada",8 wins & 15 nominations,6.8
House on Haunted Hill,1999,R,29 Oct 1999,93 min,"Crime, Fantasy, Horror",William Malone,"Robb White, Dick Beebe","Geoffrey Rush, Famke Janssen, Taye Diggs","An amusement park mogul offers a group of diverse people $1,000,000 to spend the night in a haunted house with a horrifying past.",English,United States,1 win & 4 nominations,5.6
House of Wax,2005,R,06 May 2005,113 min,"Horror, Thriller",Jaume Collet-Serra,"Charles Belden, Chad Hayes, Carey W. Hayes","Chad Michael Murray, Paris Hilton, Elisha Cuthbert",A group of teens are unwittingly stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.,English,"Australia, United States",5 wins & 11 nominations,5.4
Halloween,1978,R,27 Oct 1978,91 min,"Horror, Thriller",John Carpenter,"John Carpenter, Debra Hill","Donald Pleasence, Jamie Lee Curtis, Tony Moran","Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",English,United States,7 wins & 3 nominations,7.7
Gremlins,1984,PG,08 Jun 1984,106 min,"Comedy, Fantasy, Horror",Joe Dante,Chris Columbus,"Zach Galligan, Phoebe Cates, Hoyt Axton",A young man inadvertently breaks three important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town.,"English, Spanish",United States,8 wins & 6 nominations,7.3
Green Room,2015,R,13 May 2016,95 min,"Crime, Drama, Horror",Jeremy Saulnier,Jeremy Saulnier,"Anton Yelchin, Imogen Poots, Alia Shawkat",A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar.,English,United States,8 wins & 25 nominations,7
Goosebumps,2015,PG,16 Oct 2015,103 min,"Adventure, Comedy, Fantasy",Rob Letterman,"Darren Lemke, Scott Alexander, Larry Karaszewski","Jack Black, Dylan Minnette, Odeya Rush","A teenager teams up with the daughter of young adult horror author R. L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware.","English, Ukrainian","United States, Australia",4 nominations,6.3
Get Out,2017,R,24 Feb 2017,104 min,"Horror, Mystery, Thriller",Jordan Peele,Jordan Peele,"Daniel Kaluuya, Allison Williams, Bradley Whitford","A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.","English, Swahili","United States, Japan",Won 1 Oscar. 151 wins & 209 nominations total,7.7
Fright Night,2011,R,19 Aug 2011,106 min,"Comedy, Horror",Craig Gillespie,"Marti Noxon, Tom Holland","Anton Yelchin, Colin Farrell, David Tennant","When a nice new neighbor moves in next door, Charley discovers that he is an ancient vampire who preys on the community. Can he save his neighborhood from the creature with the help of the famous ""vampire killer"", Peter Vincent?","English, Ukrainian","United States, India",2 wins & 8 nominations,6.4
