Title,Authors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ReQ-ReC: High Recall Retrieval with Query Pooling and Interactive Classification,"Li, Cheng; Wang, Yue; Resnick, Paul; Mei, Qiaozhu",,SIGIR '14: PROCEEDINGS OF THE 37TH INTERNATIONAL ACM SIGIR CONFERENCE ON RESEARCH AND DEVELOPMENT IN INFORMATION RETRIEVAL,2014,2014,,,,,,163,172,,10.1145/2600428.2609618,37th Annual International ACM Special Interest Group on Information Retrieval Conference on Research and Development in Information Retrieval,"JUL 06-11, 2014",11,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,4,0
Including HCI and User Experience (UX) Methodologies in Computing Curricula,"Davis, Debra Lee; Berque, Dave; Davis, Janet; Jadud, Matt; Resnick, Paul","Dougherty, J; Nagel, K; Decker, A; Eiselt, K",PROCEEDINGS OF THE 45TH ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE EDUCATION,2014,2014,,,,,,734,734,,,45th ACM SIGCSE Technical Symposium on Computer Science Education (SIGCSE),"MAR 05-08, 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOW DO I FIND AND WORK PRODUCTIVELY WITH A COMPUTER SCIENTIST? A PANEL DISCUSSION ON WORKING ACROSS THE DISCIPLINARY DIVIDE FOR DEVELOPING BEHAVIOR CHANGE TECHNOLOGIES,"Hekler, Eric B.; Richardson, Caroline; Klasnja, Pedja; Resnick, Paul; Wright, Julie",,ANNALS OF BEHAVIORAL MEDICINE,MAR 2013,2013,45,,,2,,S161,S161,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Building Successful Online Communities: Evidence-Based Social Design,"Kraut, Robert E.; Resnick, Paul",,BUILDING SUCCESSFUL ONLINE COMMUNITIES: EVIDENCE-BASED SOCIAL DESIGN,2011,2011,,,,,,1,309,,,,,211,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,17,30,44,38,32,27,6
Encouraging Contribution to Online Communities,"Kraut, Robert E.; Resnick, Paul",,BUILDING SUCCESSFUL ONLINE COMMUNITIES: EVIDENCE-BASED SOCIAL DESIGN,2011,2011,,,,,,21,76,,,,,35,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,8,7,4,8,3
Resisting Political Fragmentation on the Internet,"Garrett, R. Kelly; Resnick, Paul",,DAEDALUS,FAL 2011,2011,140,4,,,,108,120,,10.1162/DAED_a_00118,,,24,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,2,4,2,4,1
Encouraging Commitment in Online Communities,"Ren, Yuqing; Kraut, Robert E.; Kiesler, Sara; Resnick, Paul",,BUILDING SUCCESSFUL ONLINE COMMUNITIES: EVIDENCE-BASED SOCIAL DESIGN,2011,2011,,,,,,77,124,,,,,24,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,6,4,4,2,0
Regulating Behavior in Online Communities,"Kiesler, Sara; Kraut, Robert E.; Resnick, Paul; Kittur, Aniket",,BUILDING SUCCESSFUL ONLINE COMMUNITIES: EVIDENCE-BASED SOCIAL DESIGN,2011,2011,,,,,,125,177,,,,,14,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,1,4,2
The Challenges of Dealing with Newcomers,"Kraut, Robert E.; Burke, Moira; Riedl, John; Resnick, Paul",,BUILDING SUCCESSFUL ONLINE COMMUNITIES: EVIDENCE-BASED SOCIAL DESIGN,2011,2011,,,,,,179,230,,,,,7,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1
Starting New Online Communities,"Resnick, Paul; Konstan, Joseph; Chen, Yan; Kraut, Robert E.",,BUILDING SUCCESSFUL ONLINE COMMUNITIES: EVIDENCE-BASED SOCIAL DESIGN,2011,2011,,,,,,231,280,,,,,5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
Building Successful Online Communities Evidence-Based Social Design Introduction,"Resnick, Paul; Kraut, Robert E.",,BUILDING SUCCESSFUL ONLINE COMMUNITIES: EVIDENCE-BASED SOCIAL DESIGN,2011,2011,,,,,,1,19,,,,,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Presenting Diverse Political Opinions: How and How Much,"Munson, Sean A.; Resnick, Paul",,"CHI 2010: PROCEEDINGS OF THE 28TH ANNUAL CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS, VOLS 1-4",2010,2010,,,,,,1457,1466,,,28th Annual CHI Conference on Human Factors in Computing Systems,"APR 10-15, 2010",63,5.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,11,13,6,9,13,5,2
Happier Together: Integrating a Wellness Application into a Social Network Site,"Munson, Sean A.; Lauterbach, Debra; Newman, Mark; Resnick, Paul","Ploug, T; Hasle, P; OinasKukkonen, H","PERSUASIVE TECHNOLOGY, PROCEEDINGS",2010,2010,6137,,,,,27,39,,,5th International Conference on Persuasive Technology,"JUN 07-10, 2010",30,2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,4,5,6,4,1,3,0
EDUCATIONAL PRIORITIES FOR TECHNOLOGY-MEDIATED SOCIAL PARTICIPATION,"Lampe, Cliff; Resnick, Paul; Forte, Andrea; Schoenebeck, Sarita Yardi; Rotman, Dana; Marshall, Todd; Lutters, Wayne",,COMPUTER,NOV 2010,2010,43,11,,,,60,67,,10.1109/MC.2010.316,,,3,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
I Scratched Yours: The Prevalence of Reciprocation in Feedback Provision on eBay,"Jian, Lian; MacKie-Mason, Jeffrey K.; Resnick, Paul",,BE JOURNAL OF ECONOMIC ANALYSIS & POLICY,2010,2010,10,1,,,,,,92,,,,3,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Sybilproof Transitive Trust Protocols,"Resnick, Paul; Sami, Rahul",,10TH ACM CONFERENCE ON ELECTRONIC COMMERCE - EC 2009,2009,2009,,,,,,345,354,,,10th ACM Conference on Electronic Commerce (EC-2009),"JUL 06-10, 2009",6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1
Eliciting Informative Feedback: The Peer-Prediction Method,"Miller, Nolan; Resnick, Paul; Zeckhauser, Richard","Golbeck, J",COMPUTING WITH SOCIAL TRUST,2009,2009,,,,,,185,212,,10.1007/978-1-84800-356-9_8,,,2,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
The Information Cost of Manipulation-Resistance in Recommender Systems,"Resnick, Paul; Sami, Rahul",,RECSYS '08: PROCEEDINGS OF THE 2008 ACM CONFERENCE ON RECOMMENDER SYSTEMS,2008,2008,,,,,,147,154,,,ACM Conference on Recommender Systems,"OCT 23-25, 2008",13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,3,1,1,0,2,1,0
